name,ttl,type,value
"eternalwebsite.com","3600","NETLIFY","eternalwebsite.netlify.app"
"www.eternalwebsite.com","3600","NETLIFY","eternalwebsite.netlify.app"
"_autodiscover._TCP._autodiscover._tcp.eternalwebsite.com","14400","SRV","cpanelemalldiscovery.cpanel.net"
"_caldav._TCP._caldav._tcp.eternalwebsite.com","14400","SRV","eternalwebsite.com"
"_caldavs._TCP._caldavs._tcp.eternalwebsite.com","14400","SRV","eternalwebsite.com"
"_carddav._TCP._carddav._tcp.eternalwebsite.com","14400","SRV","eternalwebsite.com"
"_caldav._tcp.eternalwebsite.com","14400","TXT","path=/"
"_caldavs._tcp.eternalwebsite.com","14400","TXT","path=/"
"_caldavs._tcp.eternalwebsite.com","14400","TXT","path=/"
"_carddavs._tcp.eternalwebsite.com","14400","TXT","path=/"
"eternalwebsite.com","3600","MX","mx1.privateemail.com"
"eternalwebsite.com","3600","MX","mx2.privateemail.com"
"mail.eternalwebsite.com","3600","CNAME","privateemail.com"
"eternalwebsite.com","3600","TXT","v=spf1 include:spf.privateemail.com ~all"
"_dmarc.eternalwebsite.com","3600","TXT","v=DMARC1; p=none;"
"default._domainkey.eternalwebsite.com","3600","TXT","v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA6tg/wRTcqJcCu4um3PN/PHlzZ7tR/w6+M/9KLzyLV8DBjbuFHFsSVnBKNSXYcnSMjJunj+ieqp6BRfOXsXlz/nfGP8VXzaig71/Of7ASUIjjfTzGuoYXeDCFx8EOU/rDQJWfUc4Rp0jA9vParnWsDkrfTYisEofSQ4d0ChWdQmdRc80P7QNiOJV7KuLojWwAd"
"_carddavs._TCP._carddavs._tcp.eternalwebsite.com","3600","SRV","eternalwebsite.com"